name,How would you rate your Information Visualization skills?,How would you rate your statistical skills?,How would you rate your mathematics skills?,How would you rate your drawing and artistic skills?,How would you rate your computer usage skills?,How would you rate your programming skills?,How would you rate your computer graphics programming skills?,How would you rate your human-computer interaction programming skills?,How would you rate your user experience evaluation skills?
Student 001,6,7,5,5,7,7,5,6,7
Student 002,5,4,5,2,10,7,6,4,1
Student 003,4,4,5,6,8,8,3,5,5
Student 004,1,5,5,8,8,8,5,7,8
Student 005,4,2,4,5,8,5,3,5,6
Student 006,3,6,6,3,7,5,3,3,5
Student 007,3,10,9,7,8,7,4,7,5
Student 008,5,4,6,3,8,7,5,9,4
Student 009,4,5,7,8,9,7,5,5,6
Student 010,4,6,6,4,8,6,4,7,6
Student 011,2,8,6,3,8,7,2,2,6
Student 012,3,5,7,4,7,2,3,3,2
Student 013,3,5,4,5,8,7,3,4,7
Student 014,3,4,3,7,9,4,3,7,9
Student 015,3,4,5,1,5,6,4,6,6
Student 016,6,2,2,9,9,5,2,2,5
Student 017,5,5,2,4,9,5,1,5,4
Student 018,1,1,1,1,1,1,1,1,1
Student 019,6,4,6,6,8,6,6,7,8
Student 020,4,3,7,8,6,2,1,1,3
Student 021,6,3,4,3,6,6,4,4,2
Student 022,5,3,3,7,9,5,2,7,5
Student 023,4,3,6,9,9,6,4,7,7
Student 024,5,5,6,6,5,7,4,7,8
Student 025,4,7,7,4,7,6,6,9,4
Student 026,4,4,5,4,5,5,4,7,5
Student 027,7,5,7,7,8,5,6,5,7
Student 028,4,5,8,1,7,4,2,4,9
Student 029,1,4,6,5,5,4,3,2,8
Student 030,5,4,5,7,9,8,8,10,9
Student 031,2,5,7,3,7,5,3,5,7
Student 032,4,7,5,8,10,8,4,5,5
Student 033,6,4,8,2,7,7,6,7,7
Student 034,6,5,5,7,7,5,4,5,6
Student 035,4,1,3,8,8,3,3,3,3
Student 036,5,5,7,10,10,6,8,6,3
Student 037,7,5,5,5,8,6,3,4,7
Student 038,1,6,6,2,7,1,1,1,6
Student 039,3,3,4,4,8,8,5,5,4
Student 040,3,4,6,8,8,5,6,8,5
Student 041,3,8,8,2,7,6,5,7,9
Student 042,5,6,7,4,8,6,6,8,7
Student 043,5,4,5,3,8,1,1,2,1
Student 044,7,6,4,8,8,7,7,7,8
Student 045,5,5,5,7,8,2,3,3,7
Student 046,7,4,7,5,10,8,8,9,5
Student 047,5,6,5,8,8,5,5,6,7
Student 048,2,4,6,1,9,8,9,10,1
Student 049,8,5,8,4,8,8,8,8,7
Student 050,6,3,5,5,7,2,3,7,4
Student 051,3,3,3,2,7,7,3,6,2
Student 052,4,6,5,8,7,5,3,4,5
Student 053,3,3,8,7,8,4,6,5,5
Student 054,5,5,7,7,7,4,4,5,7
Student 055,1,2,4,2,5,1,1,1,2
Student 056,2,2,4,7,8,3,3,3,2
Student 057,4,7,7,6,6,4,5,5,5
Student 058,4,7,6,6,7,6,1,6,7
Student 059,5,2,5,5,10,8,8,7,3
Student 060,6,8,8,7,9,6,6,5,8
Student 061,7,5,5,3,8,7,7,9,5
Student 062,7,5,7,7,9,6,5,8,7
Student 063,7,6,5,7,8,7,4,4,7
Student 064,3,6,5,3,7,6,3,3,4
Student 065,8,6,4,9,8,7,6,7,8
Student 066,6,6,3,9,9,3,1,2,2
Student 067,4,3,5,6,7,3,1,1,8
Student 068,4,5,5,3,8,5,2,3,4
Student 069,4,6,6,4,8,3,1,7,6
Student 070,2,4,6,8,6,4,1,3,5
Student 071,4,2,5,7,10,7,5,6,8
Student 072,7,4,5,7,9,4,5,9,4
Student 073,3,1,4,5,5,4,2,3,8
Student 074,4,3,5,7,7,1,3,3,7
Student 075,5,5,6,2,7,8,3,4,4
Student 076,4,3,4,4,4,6,4,4,4